"Neighborhood","house_price_2019","n_airbnbs","n_airbnb_incr_last_4_years","mean_airbnb_price","unem_prop_2019","Post_graduate","College_graduate","FP_or_pre_college","Compulsory_educ","Incomplete_elementary","aging_index_incr","house_price_incr_last_4_years"
"San Diego",1928,82,71,70.378,0.0729,0.1021,0.0526,0.18,0.4089,0.1769,-0.0231,0.4399
"Puerta Bonita",1942,22,20,60.7727,0.0658,0.1121,0.0612,0.1823,0.3841,0.1761,-0.0205,0.4103
"Almendrales",2180,25,25,43.64,0.0616,0.1149,0.0663,0.1674,0.3963,0.188,-0.0203,0.4418
"Numancia",2082,59,53,52.8305,0.0712,0.1156,0.0593,0.1864,0.3709,0.1843,-0.0076,0.426
"Vista Alegre",2044,40,34,45.225,0.0055,0.123,0.0728,0.1949,0.3748,0.1717,-0.0139,0.3801
"Palomeras Bajas",2108,23,22,89.4348,0.0639,0.126,0.0686,0.2046,0.364,0.1599,0.0018,0.5036
"San Isidro",2303,53,49,59.9811,0.0072,0.1428,0.0713,0.1806,0.3539,0.1727,-0.0112,0.4295
"Canillejas",2360,20,19,64.35,0.0052,0.149,0.0749,0.1903,0.3479,0.1686,0.0047,0.4595
"Aluche",2212,29,27,38.1724,0.0446,0.1494,0.0879,0.2054,0.3256,0.173,-0.0053,0.3991
"Opañel",2339,40,36,82.15,0.054,0.1591,0.0821,0.1967,0.3553,0.1533,-0.011,0.4099
"Buenavista",2504,25,25,48.72,0.0507,0.1629,0.1024,0.2231,0.3364,0.1241,-0.0052,0.2727
"Pueblo Nuevo",2496,46,41,68.5435,0.0475,0.164,0.0859,0.2048,0.3372,0.1502,-0.0076,0.4403
"Lucero",2380,31,26,54.4194,0.0529,0.1697,0.0823,0.2039,0.3191,0.1571,-0.0147,0.4294
"Ventas",2665,54,49,65.0185,0.0499,0.1755,0.0849,0.2074,0.3279,0.1503,-0.0167,0.4595
"Comillas",2702,46,44,89.6739,0.0575,0.1805,0.0863,0.2092,0.3242,0.1485,-0.0076,0.5538
