"area","Bachiller Elemental, Graduado Escolar, ESO, Formación profesional 1º grado","Estudios superiores, licenciado, arquitecto o ingeniero superior, estudios superiores no universitarios, doctorado, estudios postgraduados","Formación profesional 2º grado, Bachiller Superior o BUP","Nivel de estudios desconocido y no consta","No sabe leer ni escribir o sin estudios","Primaria incompleta","Titulados medios, diplomados, arquitecto o ingeniero técnico"
"CIUDAD","0.26459325014884005","0.27347146385946769","0.19089544503275685","0.0013918501892265897","0.052034401622848343","0.12099782852100562","0.096615760625854849"
"CENTRO","0.1939895308","0.4015659460","0.1864698015","0.0008945732","0.0326032081","0.0840633110","0.1004136294"
"Palacio","0.186186030","0.411341228","0.188846575","0.000834681","0.029839846","0.078251343","0.104700297"
"Embajadores","0.222424578","0.343283976","0.185235041","0.001029377","0.048591865","0.107688653","0.091746509"
"Cortes","0.1651195806","0.4542972589","0.1905645954","0.0002184121","0.0232608933","0.0687998253","0.0977394343"
"Justicia","0.1593883357","0.4814366999","0.1810810811","0.0008534851","0.0183499289","0.0592460882","0.0996443812"
"Universidad","0.187059892","0.417619444","0.184334065","0.001022185","0.024873173","0.075679564","0.109411676"
"Sol","0.1949806950","0.4000965251","0.2018983269","0.0008043758","0.0225225225","0.0722329472","0.1074646075"
"ARGANZUELA","0.202687956","0.359477178","0.197018305","0.001370234","0.027256989","0.087407796","0.124781542"
"Imperial","0.186641117","0.366767041","0.205803449","0.001861484","0.024692034","0.087927731","0.126307145"
"Las Acacias","0.179395614","0.378162585","0.196711923","0.002526699","0.025738638","0.086985817","0.130478725"
"La Chopera","0.276509821","0.255889372","0.208590834","0.001040201","0.040139509","0.115462277","0.102367986"
"Legazpi","0.1417781614","0.4581355201","0.1858725363","0.0003596605","0.0132355057","0.0469716588","0.1536469573"
"Las Delicias","0.2102753494","0.3622551540","0.1925108691","0.0007947268","0.0249637698","0.0826048338","0.1265952971"
"Palos de Moguer","0.2223411185","0.3429794361","0.1911231041","0.0008839676","0.0332185726","0.0975155857","0.1119382153"
"Atocha","0.25281602002503129","0.27033792240300375","0.24405506883604505","0","0.023779724655819776","0.077596996245306638","0.13141426783479349"
"RETIRO","0.161034172","0.429036854","0.196117664","0.001487565","0.020763058","0.065662386","0.125898301"
"Pacífico","0.178499945","0.381345755","0.206630518","0.001419266","0.023472470","0.078023218","0.130608829"
"Adelfas","0.180975911","0.379109189","0.201496122","0.001441219","0.027108640","0.080021961","0.129846956"
