"Neighborhood","n_housings_2019","mean_airbnb_price_usd_2019","n_housings_2015","mean_airbnb_price_usd_2015"
"Abrantes",8,40.375,1,60
"Acacias",76,65.6710526315789,12,71.0833333333333
"Adelfas",31,96.9677419354839,3,194.333333333333
"Aeropuerto",4,40.25,0,0
"Aguilas",12,49.8333333333333,0,0
"Alameda de Osuna",16,64.3125,4,50
"Almagro",78,119.25641025641,14,91.8571428571429
"Almenara",29,84.2758620689655,4,71.5
"Almendrales",25,43.64,0,0
"Aluche",29,38.1724137931034,2,24
"Ambroz",1,27,0,0
"Amposta",1,59,0,0
"Apostol Santiago",7,91.2857142857143,1,57
"Arapiles",71,96.2676056338028,14,60.5714285714286
"Aravaca",17,62.8823529411765,3,79
"Arcos",16,71.1875,5,28.2
"Argüelles",129,109.364341085271,14,72.4285714285714
"Atocha",12,107.416666666667,4,115
"Bellas Vistas",58,90.7241379310345,4,29.5
"Berruguete",33,85.1818181818182,3,39
"Buenavista",25,48.72,0,0
"Butarque",6,34.6666666666667,0,0
"Campamento",5,37.4,1,83
"Canillas",49,62.7755102040816,5,56.4
"Canillejas",20,64.35,1,36
"Casa de Campo",29,106.689655172414,2,83.5
"Casco Histórico de Barajas",16,64.125,1,93
"Casco Histórico de Vallecas",29,52.8965517241379,4,72
"Casco Histórico de Vicálvaro",9,61.2222222222222,2,58.5
"Castellana",70,139.128571428571,6,79.5
"Castilla",23,75.5217391304348,9,77
"Castillejos",65,91.8615384615385,6,74
"Chopera",58,70.5862068965517,9,61.6666666666667
"Ciudad Jardín",33,68.3030303030303,2,57.5
"Ciudad Universitaria",24,102.708333333333,3,55
"Colina",8,80.375,2,41
"Comillas",46,89.6739130434783,2,29.5
"Concepción",36,75.9444444444444,0,0
"Corralejos",4,106.5,0,0
"Cortes",381,123.645669291339,72,105.319444444444
"Costillares",10,49.8,2,31
"Cuatro Caminos",76,83.3421052631579,10,69.5
"Cuatro Vientos",5,68.6,0,0
"Cármenes",21,55.8095238095238,4,43.25
"Delicias",86,73.1395348837209,11,93.9090909090909
"El Goloso",6,107.333333333333,0,0
"El Pardo",1,61,0,0
"El Plantío",2,48,0,0
"El Viso",29,118.586206896552,6,75.8333333333333
"Embajadores",1070,98.3598130841121,210,80.9190476190476
"Entrevías",10,87.4,0,0
"Estrella",8,93.25,0,0
"Fontarrón",14,46.5714285714286,3,78.3333333333333
"Fuente del Berro",34,75.6176470588235,2,115
"Gaztambide",67,100.283582089552,5,93.8
"Goya",114,123.166666666667,23,109.217391304348
"Guindalera",77,91.6103896103896,7,105.142857142857
"Hellín",4,32,0,0
"Hispanoamérica",36,107.166666666667,4,61.5
"Ibiza",83,96.2289156626506,14,84.1428571428571
"Imperial",63,84.6190476190476,6,58
"Jerónimos",47,133.851063829787,9,81.5555555555556
"Justicia",432,118.122685185185,64,124.484375
"La Paz",9,67.5555555555556,1,80
"Legazpi",20,77.7,3,53
"Lista",51,105.901960784314,6,79.3333333333333
"Los Angeles",9,59.4444444444444,3,65.3333333333333
"Los Rosales",13,38.7692307692308,1,24
"Lucero",31,54.4193548387097,5,55
"Marroquina",7,131.428571428571,1,155
"Media Legua",2,29,0,0
"Mirasierra",17,100.117647058824,0,0
"Moscardó",29,55.3793103448276,2,131.5
"Niño Jesús",19,132.736842105263,6,165.5
"Nueva España",27,110.925925925926,2,183.5
"Numancia",59,52.8305084745763,6,32
"Opañel",40,82.15,4,48.25
"Orcasitas",3,61.6666666666667,0,0
"Orcasur",8,68.125,0,0
"Pacífico",103,89.9805825242718,15,83.0666666666667
"Palacio",713,120.897615708275,121,108.305785123967
"Palomas",4,86,1,150
"Palomeras Bajas",23,89.4347826086957,1,58
"Palomeras Sureste",18,36.5,2,20.5
"Palos de Moguer",164,91.8719512195122,19,71.8947368421053
"Pavones",3,32.3333333333333,0,0
"Peñagrande",20,122.95,2,45
"Pilar",23,50.0869565217391,0,0
"Pinar del Rey",35,81.2,2,80
"Piovera",13,59,2,50
"Portazgo",10,30.1,1,22
"Pradolongo",9,73.4444444444444,0,0
"Prosperidad",59,87.1864406779661,6,54.5
"Pueblo Nuevo",46,68.5434782608696,5,24.4
"Puerta Bonita",22,60.7727272727273,2,25.5
"Puerta del Angel",90,56.2444444444444,18,48.2777777777778
"Quintana",50,70.1,7,48.1428571428571
"Recoletos",113,180.778761061947,12,119.583333333333
"Rejas",31,64.9032258064516,2,52
"Rios Rosas",68,103.941176470588,7,88
"Rosas",17,132.705882352941,1,123
"Salvador",6,60.1666666666667,2,55
"San Andrés",17,60.0588235294118,1,81
"San Cristobal",6,42.5,0,0
"San Diego",82,70.3780487804878,11,52.3636363636364
"San Fermín",16,65.125,1,46
"San Isidro",53,59.9811320754717,4,49
"San Juan Bautista",14,103.785714285714,3,137.666666666667
"San Pascual",12,68.5833333333333,1,27
"Santa Eugenia",3,62,0,0
"Simancas",38,115.289473684211,7,67.7142857142857
"Sol",519,124.250481695568,120,112.916666666667
"Timón",16,63.6875,1,116
"Trafalgar",118,100.881355932203,16,71.8125
"Universidad",840,113.665476190476,178,103.224719101124
"Valdeacederas",25,63.72,1,24
"Valdefuentes",23,101,4,127.75
"Valdemarín",1,140,0,0
"Valdezarza",19,63.1578947368421,6,50
"Vallehermoso",26,102.230769230769,1,16
"Valverde",28,67,2,62.5
"Ventas",54,65.0185185185185,5,54
"Vinateros",7,35,0,0
"Vista Alegre",40,45.225,6,32.8333333333333
"Zofío",8,78.5,0,0
