"neighbourhood","n_housings","mean_airbnb_price_usd"
"Abrantes",8,40.375
"Acacias",76,65.6710526315789
"Adelfas",31,96.9677419354839
"Aeropuerto",4,40.25
"Aguilas",12,49.8333333333333
"Alameda de Osuna",16,64.3125
"Almagro",78,119.25641025641
"Almenara",29,84.2758620689655
"Almendrales",25,43.64
"Aluche",29,38.1724137931034
"Ambroz",1,27
"Amposta",1,59
"Apostol Santiago",7,91.2857142857143
"Arapiles",71,96.2676056338028
"Aravaca",17,62.8823529411765
"Arcos",16,71.1875
"Argüelles",129,109.364341085271
"Atocha",12,107.416666666667
"Bellas Vistas",58,90.7241379310345
"Berruguete",33,85.1818181818182
"Buenavista",25,48.72
"Butarque",6,34.6666666666667
"Campamento",5,37.4
"Canillas",49,62.7755102040816
"Canillejas",20,64.35
"Cármenes",21,55.8095238095238
"Casa de Campo",29,106.689655172414
"Casco Histórico de Barajas",16,64.125
"Casco Histórico de Vallecas",29,52.8965517241379
"Casco Histórico de Vicálvaro",9,61.2222222222222
"Castellana",70,139.128571428571
"Castilla",23,75.5217391304348
"Castillejos",65,91.8615384615385
"Chopera",58,70.5862068965517
"Ciudad Jardín",33,68.3030303030303
"Ciudad Universitaria",24,102.708333333333
"Colina",8,80.375
"Comillas",46,89.6739130434783
"Concepción",36,75.9444444444444
"Corralejos",4,106.5
"Cortes",381,123.645669291339
"Costillares",10,49.8
"Cuatro Caminos",76,83.3421052631579
"Cuatro Vientos",5,68.6
"Delicias",86,73.1395348837209
"El Goloso",6,107.333333333333
"El Pardo",1,61
"El Plantío",2,48
"El Viso",29,118.586206896552
"Embajadores",1070,98.3598130841121
"Entrevías",10,87.4
"Estrella",8,93.25
"Fontarrón",14,46.5714285714286
"Fuente del Berro",34,75.6176470588235
"Gaztambide",67,100.283582089552
"Goya",114,123.166666666667
"Guindalera",77,91.6103896103896
"Hellín",4,32
"Hispanoamérica",36,107.166666666667
"Ibiza",83,96.2289156626506
"Imperial",63,84.6190476190476
"Jerónimos",47,133.851063829787
"Justicia",432,118.122685185185
"La Paz",9,67.5555555555556
"Legazpi",20,77.7
"Lista",51,105.901960784314
"Los Angeles",9,59.4444444444444
"Los Rosales",13,38.7692307692308
"Lucero",31,54.4193548387097
"Marroquina",7,131.428571428571
"Media Legua",2,29
"Mirasierra",17,100.117647058824
"Moscardó",29,55.3793103448276
"Niño Jesús",19,132.736842105263
"Nueva España",27,110.925925925926
"Numancia",59,52.8305084745763
"Opañel",40,82.15
"Orcasitas",3,61.6666666666667
"Orcasur",8,68.125
"Pacífico",103,89.9805825242718
"Palacio",713,120.897615708275
"Palomas",4,86
"Palomeras Bajas",23,89.4347826086957
"Palomeras Sureste",18,36.5
"Palos de Moguer",164,91.8719512195122
"Pavones",3,32.3333333333333
"Peñagrande",20,122.95
"Pilar",23,50.0869565217391
"Pinar del Rey",35,81.2
"Piovera",13,59
"Portazgo",10,30.1
"Pradolongo",9,73.4444444444444
"Prosperidad",59,87.1864406779661
"Pueblo Nuevo",46,68.5434782608696
"Puerta Bonita",22,60.7727272727273
"Puerta del Angel",90,56.2444444444444
"Quintana",50,70.1
"Recoletos",113,180.778761061947
"Rejas",31,64.9032258064516
"Rios Rosas",68,103.941176470588
"Rosas",17,132.705882352941
"Salvador",6,60.1666666666667
"San Andrés",17,60.0588235294118
"San Cristobal",6,42.5
"San Diego",82,70.3780487804878
"San Fermín",16,65.125
"San Isidro",53,59.9811320754717
"San Juan Bautista",14,103.785714285714
"San Pascual",12,68.5833333333333
"Santa Eugenia",3,62
"Simancas",38,115.289473684211
"Sol",519,124.250481695568
"Timón",16,63.6875
"Trafalgar",118,100.881355932203
"Universidad",840,113.665476190476
"Valdeacederas",25,63.72
"Valdefuentes",23,101
"Valdemarín",1,140
"Valdezarza",19,63.1578947368421
"Vallehermoso",26,102.230769230769
"Valverde",28,67
"Ventas",54,65.0185185185185
"Vinateros",7,35
"Vista Alegre",40,45.225
"Zofío",8,78.5
