I . Mercado de Trabajo
Paro registrado
Parados por Barrios
4.1.A. Paro registrado por Mes y Sexo según Distrito y Barrio (de diciembre de 2012 a agosto 2017)
;;;;Ambos sexos
2014;Julio;Ciudad de Madrid;Ciudad de Madrid;231.333
2014;Julio;01. Centro;01. Centro;10.575
2014;Julio;01. Centro;010. No consta;461
2014;Julio;01. Centro;011. Palacio;1.569
2014;Julio;01. Centro;012. Embajadores;3.970
2014;Julio;01. Centro;013. Cortes;757
2014;Julio;01. Centro;014. Justicia;993
2014;Julio;01. Centro;015. Universidad;2.299
2014;Julio;01. Centro;016. Sol;526
2014;Julio;02. Arganzuela;02. Arganzuela;10.048
2014;Julio;02. Arganzuela;020. No consta;369
2014;Julio;02. Arganzuela;021. Imperial;1.348
2014;Julio;02. Arganzuela;022. Acacias;2.226
2014;Julio;02. Arganzuela;023. Chopera;1.519
2014;Julio;02. Arganzuela;024. Legazpi;965
2014;Julio;02. Arganzuela;025. Delicias;1.725
2014;Julio;02. Arganzuela;026. Palos de la Frontera;1.834
2014;Julio;02. Arganzuela;027. Atocha;62
2014;Julio;03. Retiro;03. Retiro;5.945
2014;Julio;03. Retiro;030. No consta;241
2014;Julio;03. Retiro;031. Pacífico;1.862
2014;Julio;03. Retiro;032. Adelfas;1.056
2014;Julio;03. Retiro;033. Estrella;916
2014;Julio;03. Retiro;034. Ibiza;1.084
2014;Julio;03. Retiro;035. Los Jerónimos;248
2014;Julio;03. Retiro;036. Niño Jesús;538
2014;Julio;04. Salamanca;04. Salamanca;6.788
2014;Julio;04. Salamanca;040. No consta;330
2014;Julio;04. Salamanca;041. Recoletos;557
2014;Julio;04. Salamanca;042. Goya;1.319
2014;Julio;04. Salamanca;043. Fuente del Berro;1.175
2014;Julio;04. Salamanca;044. Guindalera;2.019
2014;Julio;04. Salamanca;045. Lista;903
2014;Julio;04. Salamanca;046. Castellana;485
2014;Julio;05. Chamartín;05. Chamartín;6.460
2014;Julio;05. Chamartín;050. No consta;198
2014;Julio;05. Chamartín;051. El Viso;455
2014;Julio;05. Chamartín;052. Prosperidad;2.043
2014;Julio;05. Chamartín;053. Ciudad Jardín;1.020
2014;Julio;05. Chamartín;054. Hispanoamérica;1.220
2014;Julio;05. Chamartín;055. Nueva España;798
2014;Julio;05. Chamartín;056. Castilla;726
2014;Julio;06. Tetuán;06. Tetuán;11.529
2014;Julio;06. Tetuán;060. No consta;306
2014;Julio;06. Tetuán;061. Bellas Vistas;2.232
2014;Julio;06. Tetuán;062. Cuatro Caminos;1.996
