I . Mercado de Trabajo
Paro registrado
Parados por Barrios
4.1.C. Paro registrado por Mes y Sexo según Distrito y Barrio (desde noviembre de 2017)
;;;Junio;Junio
;;;Ambos sexos;Mujeres
2018;Ciudad de Madrid;Ciudad de Madrid;166.473;93.434
2018;01. Centro;01. Centro;7.612;3.689
2018;01. Centro;010. No consta;339;157
2018;01. Centro;011. Palacio;1.248;577
2018;01. Centro;012. Embajadores;2.845;1.396
2018;01. Centro;013. Cortes;527;256
2018;01. Centro;014. Justicia;758;351
2018;01. Centro;015. Universidad;1.498;761
2018;01. Centro;016. Sol;397;191
2018;02. Arganzuela;02. Arganzuela;6.701;3.827
2018;02. Arganzuela;020. No consta;289;153
2018;02. Arganzuela;021. Imperial;942;567
2018;02. Arganzuela;022. Acacias;1.466;846
2018;02. Arganzuela;023. Chopera;975;543
2018;02. Arganzuela;024. Legazpi;642;413
2018;02. Arganzuela;025. Delicias;1.124;638
2018;02. Arganzuela;026. Palos de la Frontera;1.209;633
2018;02. Arganzuela;027. Atocha;54;34
2018;03. Retiro;03. Retiro;4.145;2.360
2018;03. Retiro;030. No consta;203;110
2018;03. Retiro;031. Pacífico;1.253;719
2018;03. Retiro;032. Adelfas;758;438
2018;03. Retiro;033. Estrella;644;373
2018;03. Retiro;034. Ibiza;750;430
2018;03. Retiro;035. Los Jerónimos;161;79
2018;03. Retiro;036. Niño Jesús;376;211
2018;04. Salamanca;04. Salamanca;4.767;2.816
2018;04. Salamanca;040. No consta;233;119
2018;04. Salamanca;041. Recoletos;383;237
2018;04. Salamanca;042. Goya;932;563
2018;04. Salamanca;043. Fuente del Berro;740;446
2018;04. Salamanca;044. Guindalera;1.434;821
2018;04. Salamanca;045. Lista;689;420
2018;04. Salamanca;046. Castellana;356;210
2018;05. Chamartín;05. Chamartín;4.585;2.561
2018;05. Chamartín;050. No consta;163;87
2018;05. Chamartín;051. El Viso;341;196
2018;05. Chamartín;052. Prosperidad;1.424;780
2018;05. Chamartín;053. Ciudad Jardín;701;396
2018;05. Chamartín;054. Hispanoamérica;874;476
2018;05. Chamartín;055. Nueva España;564;319
2018;05. Chamartín;056. Castilla;518;307
2018;06. Tetuán;06. Tetuán;8.073;4.469
2018;06. Tetuán;060. No consta;241;125
2018;06. Tetuán;061. Bellas Vistas;1.444;781
2018;06. Tetuán;062. Cuatro Caminos;1.319;734
2018;06. Tetuán;063. Castillejos;778;431
2018;06. Tetuán;064. Almenara;1.608;887
2018;06. Tetuán;065. Valdeacederas;1.424;791
2018;06. Tetuán;066. Berruguete;1.259;720
2018;07. Chamberí;07. Chamberí;4.763;2.733
2018;07. Chamberí;070. No consta;390;214
2018;07. Chamberí;071. Gaztambide;797;463
2018;07. Chamberí;072. Arapiles;854;486
2018;07. Chamberí;073. Trafalgar;896;519
2018;07. Chamberí;074. Almagro;510;269
2018;07. Chamberí;075. Ríos Rosas;821;492
2018;07. Chamberí;076. Vallehermoso;495;290
2018;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;8.893;5.169
2018;08. Fuencarral-El Pardo;080. No consta;228;93
2018;08. Fuencarral-El Pardo;081. El Pardo;127;73
2018;08. Fuencarral-El Pardo;082. Fuentelarreina;63;37
2018;08. Fuencarral-El Pardo;083. Peñagrande;1.791;1.017
2018;08. Fuencarral-El Pardo;084. Pilar;1.915;1.109
2018;08. Fuencarral-El Pardo;085. La Paz;1.006;624
2018;08. Fuencarral-El Pardo;086. Valverde;2.592;1.510
2018;08. Fuencarral-El Pardo;087. Mirasierra;808;483
2018;08. Fuencarral-El Pardo;088. El Goloso;363;223
2018;09. Moncloa-Aravaca;09. Moncloa-Aravaca;4.089;2.261
2018;09. Moncloa-Aravaca;090. No consta;205;109
2018;09. Moncloa-Aravaca;091. Casa de Campo;562;277
2018;09. Moncloa-Aravaca;092. Argüelles;833;465
2018;09. Moncloa-Aravaca;093. Ciudad Universitaria;430;235
2018;09. Moncloa-Aravaca;094. Valdezarza;1.286;741
2018;09. Moncloa-Aravaca;095. Valdemarín;133;81
2018;09. Moncloa-Aravaca;096. El Plantío;44;27
2018;09. Moncloa-Aravaca;097. Aravaca;596;326
2018;10. Latina;10. Latina;13.153;7.360
2018;10. Latina;100. No consta;304;145
2018;10. Latina;101. Los Cármenes;1.308;739
2018;10. Latina;102. Puerta del Ángel;2.598;1.410
2018;10. Latina;103. Lucero;2.079;1.113
2018;10. Latina;104. Aluche;3.142;1.765
2018;10. Latina;105. Campamento;883;508
2018;10. Latina;106. Cuatro Vientos;306;194
2018;10. Latina;107. Águilas;2.533;1.486
2018;11. Carabanchel;11. Carabanchel;15.978;8.952
2018;11. Carabanchel;110. No consta;347;176
2018;11. Carabanchel;111. Comillas;1.307;728
2018;11. Carabanchel;112. Opañel;1.848;1.053
2018;11. Carabanchel;113. San Isidro;3.003;1.614
2018;11. Carabanchel;114. Vista Alegre;2.710;1.549
2018;11. Carabanchel;115. Puerta Bonita;2.409;1.298
2018;11. Carabanchel;116. Buenavista;2.470;1.448
2018;11. Carabanchel;117. Abrantes;1.884;1.086
2018;12. Usera;12. Usera;9.336;5.232
2018;12. Usera;120. No consta;138;58
2018;12. Usera;121. Orcasitas;1.479;866
2018;12. Usera;122. Orcasur;1.225;686
2018;12. Usera;123. San Fermín;1.635;938
2018;12. Usera;124. Almendrales;1.371;764
2018;12. Usera;125. Moscardó;1.564;848
2018;12. Usera;126. Zofío;840;463
2018;12. Usera;127. Pradolongo;1.084;609
2018;13. Puente de Vallecas;13. Puente de Vallecas;18.166;9.909
2018;13. Puente de Vallecas;130. No consta;324;135
2018;13. Puente de Vallecas;131. Entrevías;3.085;1.579
2018;13. Puente de Vallecas;132. San Diego;3.302;1.782
2018;13. Puente de Vallecas;133. Palomeras Bajas;2.671;1.529
2018;13. Puente de Vallecas;134. Palomeras Sureste;3.024;1.706
2018;13. Puente de Vallecas;135. Portazgo;2.188;1.233
2018;13. Puente de Vallecas;136. Numancia;3.572;1.945
2018;14. Moratalaz;14. Moratalaz;5.181;2.924
2018;14. Moratalaz;140. No consta;87;51
2018;14. Moratalaz;141. Pavones;557;307
2018;14. Moratalaz;142. Horcajo;377;225
2018;14. Moratalaz;143. Marroquina;1.251;746
2018;14. Moratalaz;144. Media Legua;1.076;565
2018;14. Moratalaz;145. Fontarrón;994;546
2018;14. Moratalaz;146. Vinateros;839;484
2018;15. Ciudad Lineal;15. Ciudad Lineal;10.430;5.919
2018;15. Ciudad Lineal;150. No consta;263;128
2018;15. Ciudad Lineal;151. Ventas;2.555;1.433
2018;15. Ciudad Lineal;152. Pueblo Nuevo;3.201;1.780
2018;15. Ciudad Lineal;153. Quintana;1.291;764
2018;15. Ciudad Lineal;154. Concepción;984;578
2018;15. Ciudad Lineal;155. San Pascual;804;453
2018;15. Ciudad Lineal;156. San Juan Bautista;396;231
2018;15. Ciudad Lineal;157. Colina;224;134
2018;15. Ciudad Lineal;158. Atalaya;42;26
2018;15. Ciudad Lineal;159. Costillares;670;392
2018;16. Hortaleza;16. Hortaleza;7.753;4.496
2018;16. Hortaleza;160. No consta;200;105
2018;16. Hortaleza;161. Palomas;186;103
2018;16. Hortaleza;162. Piovera;371;220
2018;16. Hortaleza;163. Canillas;1.696;998
2018;16. Hortaleza;164. Pinar del Rey;2.690;1.526
2018;16. Hortaleza;165. Apóstol Santiago;822;451
2018;16. Hortaleza;166. Valdefuentes;1.788;1.093
2018;17. Villaverde;17. Villaverde;10.810;6.106
2018;17. Villaverde;170. No consta;142;54
2018;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";3.647;2.039
2018;17. Villaverde;172. San Cristóbal;1.562;843
2018;17. Villaverde;173. Butarque;1.078;688
2018;17. Villaverde;174. Los Rosales;2.466;1.407
2018;17. Villaverde;175. Ángeles;1.915;1.075
2018;18. Villa de Vallecas;18. Villa de Vallecas;7.042;4.100
2018;18. Villa de Vallecas;180. No consta;66;32
2018;18. Villa de Vallecas;181. Casco Histórico de Vallecas;3.178;1.753
2018;18. Villa de Vallecas;182. Santa Eugenia;1.428;800
2018;18. Villa de Vallecas;183. Ensanche de Vallecas;2.370;1.515
2018;19. Vicálvaro;19. Vicálvaro;4.487;2.552
2018;19. Vicálvaro;190. No consta;66;35
2018;19. Vicálvaro;191. Casco Histórico de Vicálvaro;2.594;1.355
2018;19. Vicálvaro;192. Valdebernardo;1.143;694
2018;19. Vicálvaro;193. Valderribas;638;439
2018;19. Vicálvaro;194. El Cañaveral;46;29
2018;20. San Blas-Canillejas;20. San Blas-Canillejas;8.728;4.942
2018;20. San Blas-Canillejas;200. No consta;179;80
2018;20. San Blas-Canillejas;201. Simancas;1.699;884
2018;20. San Blas-Canillejas;202. Hellín;669;365
2018;20. San Blas-Canillejas;203. Amposta;735;398
2018;20. San Blas-Canillejas;204. Arcos;1.549;823
2018;20. San Blas-Canillejas;205. Rosas;1.223;814
2018;20. San Blas-Canillejas;206. Rejas;644;394
2018;20. San Blas-Canillejas;207. Canillejas;1.583;924
2018;20. San Blas-Canillejas;208. El Salvador;447;260
2018;21. Barajas;21. Barajas;1.781;1.057
2018;21. Barajas;210. No consta;39;21
2018;21. Barajas;211. Alameda de Osuna;565;348
2018;21. Barajas;212. Aeropuerto;104;60
2018;21. Barajas;213. Casco Histórico de Barajas;388;217
2018;21. Barajas;214. Timón;490;290
2018;21. Barajas;215. Corralejos;195;121
2019;Ciudad de Madrid;Ciudad de Madrid;159.355;90.602
2019;01. Centro;01. Centro;7.246;3.563
2019;01. Centro;010. No consta;317;167
2019;01. Centro;011. Palacio;1.178;553
2019;01. Centro;012. Embajadores;2.626;1.299
2019;01. Centro;013. Cortes;496;246
2019;01. Centro;014. Justicia;787;378
2019;01. Centro;015. Universidad;1.492;751
2019;01. Centro;016. Sol;350;169
2019;02. Arganzuela;02. Arganzuela;6.360;3.623
2019;02. Arganzuela;020. No consta;251;135
2019;02. Arganzuela;021. Imperial;883;530
2019;02. Arganzuela;022. Acacias;1.437;822
2019;02. Arganzuela;023. Chopera;899;495
2019;02. Arganzuela;024. Legazpi;614;381
2019;02. Arganzuela;025. Delicias;1.063;609
2019;02. Arganzuela;026. Palos de la Frontera;1.148;618
2019;02. Arganzuela;027. Atocha;65;33
2019;03. Retiro;03. Retiro;3.917;2.231
2019;03. Retiro;030. No consta;172;87
2019;03. Retiro;031. Pacífico;1.222;678
2019;03. Retiro;032. Adelfas;684;408
2019;03. Retiro;033. Estrella;625;376
2019;03. Retiro;034. Ibiza;702;390
2019;03. Retiro;035. Los Jerónimos;161;92
2019;03. Retiro;036. Niño Jesús;351;200
2019;04. Salamanca;04. Salamanca;4.428;2.597
2019;04. Salamanca;040. No consta;191;102
2019;04. Salamanca;041. Recoletos;327;188
2019;04. Salamanca;042. Goya;880;539
2019;04. Salamanca;043. Fuente del Berro;710;413
2019;04. Salamanca;044. Guindalera;1.388;798
2019;04. Salamanca;045. Lista;591;362
2019;04. Salamanca;046. Castellana;341;195
2019;05. Chamartín;05. Chamartín;4.326;2.517
2019;05. Chamartín;050. No consta;140;85
2019;05. Chamartín;051. El Viso;311;172
2019;05. Chamartín;052. Prosperidad;1.306;763
2019;05. Chamartín;053. Ciudad Jardín;694;395
2019;05. Chamartín;054. Hispanoamérica;798;463
2019;05. Chamartín;055. Nueva España;550;325
2019;05. Chamartín;056. Castilla;527;314
2019;06. Tetuán;06. Tetuán;7.765;4.390
2019;06. Tetuán;060. No consta;217;107
2019;06. Tetuán;061. Bellas Vistas;1.352;763
2019;06. Tetuán;062. Cuatro Caminos;1.229;713
2019;06. Tetuán;063. Castillejos;719;410
2019;06. Tetuán;064. Almenara;1.562;906
2019;06. Tetuán;065. Valdeacederas;1.459;813
2019;06. Tetuán;066. Berruguete;1.227;678
2019;07. Chamberí;07. Chamberí;4.478;2.601
2019;07. Chamberí;070. No consta;352;199
2019;07. Chamberí;071. Gaztambide;759;437
2019;07. Chamberí;072. Arapiles;789;460
2019;07. Chamberí;073. Trafalgar;821;459
2019;07. Chamberí;074. Almagro;470;275
2019;07. Chamberí;075. Ríos Rosas;783;476
2019;07. Chamberí;076. Vallehermoso;504;295
2019;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;8.599;5.045
2019;08. Fuencarral-El Pardo;080. No consta;235;108
2019;08. Fuencarral-El Pardo;081. El Pardo;135;79
2019;08. Fuencarral-El Pardo;082. Fuentelarreina;70;42
2019;08. Fuencarral-El Pardo;083. Peñagrande;1.673;957
2019;08. Fuencarral-El Pardo;084. Pilar;1.839;1.068
