E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
4.3.20. Evolución del precio de la vivienda de segunda mano por Distrito  y Barrio (€/m2)
;;2014;2015;2018;2019
01. Centro;01. Centro;3.285;3.568;4.975;5.096
01. Centro;011. Palacio;3.369;3.682;4.873;4.852
01. Centro;012. Embajadores;2.697;3.000;4.239;4.479
01. Centro;013. Cortes;3.541;3.714;5.106;5.272
01. Centro;014. Justicia;3.902;4.326;5.989;5.893
01. Centro;015. Universidad;3.199;3.476;5.068;5.282
01. Centro;016. Sol;3.419;3.716;5.263;5.110
02. Arganzuela;02. Arganzuela;2.653;2.746;3.919;3.983
02. Arganzuela;021. Imperial;2.731;2.697;3.896;3.922
02. Arganzuela;022. Acacias;2.804;2.966;4.046;4.188
02. Arganzuela;023. Chopera;2.190;2.355;3.727;3.625
02. Arganzuela;024. Legazpi;3.307;3.349;4.263;4.394
02. Arganzuela;025. Delicias;2.564;2.592;3.777;3.904
02. Arganzuela;026. Palos de la Frontera;2.529;2.725;3.948;3.943
02. Arganzuela;027. Atocha;Sin Datos;Sin Datos;Sin Datos;Sin Datos
03. Retiro;03. Retiro;3.274;3.510;4.791;4.572
03. Retiro;031. Pacífico;2.758;2.943;4.059;4.149
03. Retiro;032. Adelfas;2.686;2.941;4.074;4.213
03. Retiro;033. Estrella;2.831;3.083;4.024;4.155
03. Retiro;034. Ibiza;3.595;3.756;5.226;5.433
03. Retiro;035. Los Jerónimos;4.765;5.035;6.315;6.741
03. Retiro;036. Niño Jesús;3.458;3.460;4.463;4.792
04. Salamanca;04. Salamanca;4.138;4.370;6.043;5.872
04. Salamanca;041. Recoletos;5.578;5.843;7.931;8.441
04. Salamanca;042. Goya;3.819;4.097;5.652;5.875
04. Salamanca;043. Fuente del Berro;2.876;2.985;4.275;4.474
04. Salamanca;044. Guindalera;2.863;2.990;4.267;4.280
04. Salamanca;045. Lista;3.989;4.024;5.498;5.713
04. Salamanca;046. Castellana;4.898;5.036;6.922;7.118
05. Chamartín;05. Chamartín;3.717;3.790;5.016;5.070
05. Chamartín;051. El Viso;4.459;4.545;5.813;6.263
05. Chamartín;052. Prosperidad;3.006;2.988;4.344;4.288
05. Chamartín;053. Ciudad Jardín;2.839;3.055;4.321;4.563
05. Chamartín;054. Hispanoamérica;3.765;3.826;5.024;5.173
05. Chamartín;055. Nueva España;4.186;4.278;5.204;5.296
05. Chamartín;056. Castilla;3.015;3.163;4.313;4.376
06. Tetuán;06. Tetuán;2.545;2.634;3.601;3.635
06. Tetuán;061. Bellas Vistas;2.200;2.294;3.354;3.365
06. Tetuán;062. Cuatro Caminos;2.879;3.035;4.115;4.362
06. Tetuán;063. Castillejos;3.150;3.275;4.172;4.252
06. Tetuán;064. Almenara;2.235;2.140;3.311;3.419
06. Tetuán;065. Valdeacederas;2.161;2.198;3.034;3.099
06. Tetuán;066. Berruguete;2.159;2.236;2.982;3.263
07. Chamberí;07. Chamberí;3.630;3.760;5.200;5.304
07. Chamberí;071. Gaztambide;3.095;3.343;4.664;4.894
07. Chamberí;072. Arapiles;3.479;3.629;4.855;4.996
07. Chamberí;073. Trafalgar;3.503;3.782;5.387;5.569
07. Chamberí;074. Almagro;4.527;4.460;6.175;6.728
07. Chamberí;075. Ríos Rosas;3.417;3.643;5.044;5.001
07. Chamberí;076. Vallehermoso;3.317;3.353;4.341;4.544
08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;2.656;2.734;3.463;3.548
08. Fuencarral-El Pardo;081. El Pardo;Sin Datos;Sin Datos;Sin Datos;Sin Datos
08. Fuencarral-El Pardo;082. Fuentelarreina;2.731;2.770;Sin Datos;3.439
08. Fuencarral-El Pardo;083. Peñagrande;2.634;2.681;3.412;3.283
08. Fuencarral-El Pardo;084. Pilar;2.174;2.214;3.234;3.303
08. Fuencarral-El Pardo;085. La Paz;2.951;2.930;3.549;3.580
08. Fuencarral-El Pardo;086. Valverde;Sin Datos;Sin Datos;Sin Datos;Sin Datos
08. Fuencarral-El Pardo;086. Valverde (Tres Olivos);1.770;1.921;2.476;2.766
08. Fuencarral-El Pardo;086. Valverde (PAU Las Tablas);Sin Datos;3.312;4.224;4.159
08. Fuencarral-El Pardo;087. Mirasierra;3.078;3.268;3.648;3.645
