E. Edificación y Vivienda
Mercado de la vivienda
Precios de la vivienda
4.3.20. Evolución del precio de la vivienda de segunda mano por Distrito  y Barrio (€/m2)
;;2018;2019
Madrid;Madrid;3.844;3.732
01. Centro;01. Centro;4.975;5.096
01. Centro;011. Palacio;4.873;4.852
01. Centro;012. Embajadores;4.239;4.479
01. Centro;013. Cortes;5.106;5.272
01. Centro;014. Justicia;5.989;5.893
01. Centro;015. Universidad;5.068;5.282
01. Centro;016. Sol;5.263;5.110
02. Arganzuela;02. Arganzuela;3.919;3.983
02. Arganzuela;021. Imperial;3.896;3.922
02. Arganzuela;022. Acacias;4.046;4.188
02. Arganzuela;023. Chopera;3.727;3.625
02. Arganzuela;024. Legazpi;4.263;4.394
02. Arganzuela;025. Delicias;3.777;3.904
02. Arganzuela;026. Palos de la Frontera;3.948;3.943
02. Arganzuela;027. Atocha;Sin Datos;Sin Datos
03. Retiro;03. Retiro;4.791;4.572
03. Retiro;031. Pacífico;4.059;4.149
03. Retiro;032. Adelfas;4.074;4.213
03. Retiro;033. Estrella;4.024;4.155
03. Retiro;034. Ibiza;5.226;5.433
03. Retiro;035. Los Jerónimos;6.315;6.741
03. Retiro;036. Niño Jesús;4.463;4.792
04. Salamanca;04. Salamanca;6.043;5.872
04. Salamanca;041. Recoletos;7.931;8.441
04. Salamanca;042. Goya;5.652;5.875
04. Salamanca;043. Fuente del Berro;4.275;4.474
04. Salamanca;044. Guindalera;4.267;4.280
04. Salamanca;045. Lista;5.498;5.713
04. Salamanca;046. Castellana;6.922;7.118
05. Chamartín;05. Chamartín;5.016;5.070
05. Chamartín;051. El Viso;5.813;6.263
05. Chamartín;052. Prosperidad;4.344;4.288
05. Chamartín;053. Ciudad Jardín;4.321;4.563
05. Chamartín;054. Hispanoamérica;5.024;5.173
05. Chamartín;055. Nueva España;5.204;5.296
05. Chamartín;056. Castilla;4.313;4.376
06. Tetuán;06. Tetuán;3.601;3.635
06. Tetuán;061. Bellas Vistas;3.354;3.365
06. Tetuán;062. Cuatro Caminos;4.115;4.362
06. Tetuán;063. Castillejos;4.172;4.252
06. Tetuán;064. Almenara;3.311;3.419
06. Tetuán;065. Valdeacederas;3.034;3.099
06. Tetuán;066. Berruguete;2.982;3.263
07. Chamberí;07. Chamberí;5.200;5.304
07. Chamberí;071. Gaztambide;4.664;4.894
07. Chamberí;072. Arapiles;4.855;4.996
07. Chamberí;073. Trafalgar;5.387;5.569
07. Chamberí;074. Almagro;6.175;6.728
07. Chamberí;075. Ríos Rosas;5.044;5.001
07. Chamberí;076. Vallehermoso;4.341;4.544
08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;3.463;3.548
08. Fuencarral-El Pardo;081. El Pardo;Sin Datos;Sin Datos
08. Fuencarral-El Pardo;082. Fuentelarreina;Sin Datos;3.439
08. Fuencarral-El Pardo;083. Peñagrande;3.412;3.283
08. Fuencarral-El Pardo;084. Pilar;3.234;3.303
08. Fuencarral-El Pardo;085. La Paz;3.549;3.580
08. Fuencarral-El Pardo;086. Valverde;Sin Datos;Sin Datos
08. Fuencarral-El Pardo;086. Valverde (Tres Olivos);2.476;2.766
08. Fuencarral-El Pardo;086. Valverde (PAU Las Tablas);4.224;4.159
08. Fuencarral-El Pardo;087. Mirasierra;3.648;3.645
08. Fuencarral-El Pardo;088. El Goloso;Sin Datos;Sin Datos
08. Fuencarral-El Pardo;088. El Goloso (PAU Montecarmelo);Sin Datos;4.575
09. Moncloa-Aravaca;09. Moncloa-Aravaca;4.221;3.946
09. Moncloa-Aravaca;091. Casa de Campo;3.712;Sin Datos
09. Moncloa-Aravaca;092. Argüelles;4.739;4.957
09. Moncloa-Aravaca;093. Ciudad Universitaria;3.998;3.652
09. Moncloa-Aravaca;094. Valdezarza;3.175;2.989
09. Moncloa-Aravaca;095. Valdemarín;4.413;4.404
09. Moncloa-Aravaca;096. El Plantío;Sin Datos;2.638
09. Moncloa-Aravaca;097. Aravaca;4.198;3.742
10. Latina;10. Latina;2.307;2.299
10. Latina;101. Los Cármenes;Sin Datos;2.398
10. Latina;102. Puerta del Ángel;2.725;2.498
10. Latina;103. Lucero;2.232;2.380
10. Latina;104. Aluche;2.067;2.212
10. Latina;105. Campamento;2.174;2.237
10. Latina;106. Cuatro Vientos;Sin Datos;Sin Datos
10. Latina;107. Águilas;2.041;2.125
11. Carabanchel;11. Carabanchel;2.101;2.187
11. Carabanchel;111. Comillas;2.367;2.702
11. Carabanchel;112. Opañel;2.212;2.339
11. Carabanchel;113. San Isidro;2.084;2.303
11. Carabanchel;114. Vista Alegre;2.037;2.044
11. Carabanchel;115. Puerta Bonita;1.854;1.942
11. Carabanchel;116. Buenavista;1.888;1.982
11. Carabanchel;116. Buenavista (PAU de Carabanchel);3.085;3.026
11. Carabanchel;117. Abrantes;1.896;1.883
12. Usera;12. Usera;2.008;2.043
12. Usera;121. Orcasitas;Sin Datos;1.809
12. Usera;122. Orcasur;Sin Datos;1.728
12. Usera;123. San Fermín;1.815;2.041
12. Usera;124. Almendrales;2.012;2.180
12. Usera;125. Moscardó;2.261;2.209
12. Usera;126. Zofío;1.887;1.889
12. Usera;127. Pradolongo;1.902;2.097
13. Puente de Vallecas;13. Puente de Vallecas;1.821;1.957
13. Puente de Vallecas;131. Entrevías;1.413;1.558
13. Puente de Vallecas;132. San Diego;1.783;1.928
13. Puente de Vallecas;133. Palomeras Bajas;1.853;2.108
13. Puente de Vallecas;134. Palomeras Sureste;2.014;2.012
13. Puente de Vallecas;135. Portazgo;1.712;1.826
13. Puente de Vallecas;136. Numancia;1.921;2.082
14. Moratalaz;14. Moratalaz;2.568;2.500
14. Moratalaz;141. Pavones;Sin Datos;2.222
14. Moratalaz;142. Horcajo;Sin Datos;Sin Datos
14. Moratalaz;143. Marroquina;2.794;2.868
14. Moratalaz;144. Media Legua;Sin Datos;2.664
14. Moratalaz;145. Fontarrón;Sin Datos;2.207
14. Moratalaz;146. Vinateros;Sin Datos;2.500
15. Ciudad Lineal;15. Ciudad Lineal;3.000;3.020
15. Ciudad Lineal;151. Ventas;2.582;2.665
15. Ciudad Lineal;152. Pueblo Nuevo;2.418;2.496
15. Ciudad Lineal;153. Quintana;2.933;2.828
15. Ciudad Lineal;154. Concepción;3.142;3.259
15. Ciudad Lineal;155. San Pascual;3.471;3.402
15. Ciudad Lineal;156. San Juan Bautista;3.894;4.288
15. Ciudad Lineal;157. Colina;Sin Datos;4.660
15. Ciudad Lineal;158. Atalaya;Sin Datos;Sin Datos
15. Ciudad Lineal;159. Costillares;3.989;4.267
16. Hortaleza;16. Hortaleza;3.541;2.687
16. Hortaleza;161. Palomas;Sin Datos;3.732
16. Hortaleza;162. Piovera;4.921;4.275
16. Hortaleza;163. Canillas;3.285;3.241
16. Hortaleza;164. Pinar del Rey;2.907;2.887
16. Hortaleza;165. Apóstol Santiago;2.625;2.850
16. Hortaleza;166. Valdefuentes;Sin Datos;Sin Datos
16. Hortaleza;166. Valdefuentes (PAU Sanchinarro);4.184;4.417
16. Hortaleza;166. Valdefuentes (Valdebebas - Valdefuentes);Sin Datos;3.676
16. Hortaleza;166. Valdefuentes (Virgen del Cortijo - Manoteras);Sin Datos;3.504
16. Hortaleza;166. Valdefuentes (El Encinar de los Reyes);Sin Datos;Sin Datos
17. Villaverde;17. Villaverde;1.644;1.730
17. Villaverde;171. San Andrés;1.644;1.614
17. Villaverde;172. San Cristóbal;1.252;1.467
17. Villaverde;173. Butarque;1.803;2.143
17. Villaverde;174. Los Rosales;1.761;1.869
17. Villaverde;175. Ángeles;1.648;1.842
18. Villa de Vallecas;18. Villa de Vallecas;2.338;2.434
18. Villa de Vallecas;181. Casco Histórico de Vallecas;1.913;2.018
18. Villa de Vallecas;181. Casco Histórico de Vallecas (Ensanche de Vallecas - Valdecarros- La Gavia);2.774;2.695
18. Villa de Vallecas;182. Santa Eugenia;2.143;2.285
19. Vicálvaro;19. Vicálvaro;2.227;2.355
19. Vicálvaro;191. Casco Histórico de Vicálvaro;Sin Datos;2.145
19. Vicálvaro;191. Casco Histórico de Vicálvaro (Valdebernardo - Valderribas);Sin Datos;2.895
19. Vicálvaro;191. Casco Histórico de Vicálvaro (El Cañaveral - Los Berrocales);Sin Datos;2.420
19. Vicálvaro;192. Ambroz;1.956;2.092
20. San Blas-Canillejas;20. San Blas-Canillejas;2.595;2.488
20. San Blas-Canillejas;201. Simancas;2.511;2.600
20. San Blas-Canillejas;202. Hellín;Sin Datos;1.925
20. San Blas-Canillejas;203. Amposta;Sin Datos;2.073
20. San Blas-Canillejas;204. Arcos;2.084;2.130
20. San Blas-Canillejas;205. Rosas;2.993;3.121
20. San Blas-Canillejas;206. Rejas;3.133;3.022
20. San Blas-Canillejas;207. Canillejas;2.100;2.360
20. San Blas-Canillejas;208. Salvador;Sin Datos;3.074
21. Barajas;21. Barajas;3.242;3.203
21. Barajas;211. Alameda de Osuna;3.185;3.273
21. Barajas;212. Aeropuerto;Sin Datos;Sin Datos
21. Barajas;213. Casco Histórico de Barajas;Sin Datos;3.104
21. Barajas;214. Timón;Sin Datos;3.088
21. Barajas;215. Corralejos;Sin Datos;3.476
;
;
Fuente: Idealista.com: Índice Inmobiliario Anual. www.idealista.com
"Observaciones: Datos a diciembre de cada año.
Algunos barrios aparecen divididos  en  zonas que utilizan la denominación utilizada por la fuente."
