C. Demografía y Población
Población extranjera
Nacionalidad
6.1.1.A Población por Distrito y Barrio según Nacionalidad (2002-2017)
;;;Total;Extranjera;% de extranjeros
1 de julio de 2014;01. Centro;01. Centro;132.356;28.573;"21,59"
1 de julio de 2014;01. Centro;011. Palacio;22.137;3.595;"16,24"
1 de julio de 2014;01. Centro;012. Embajadores;44.987;11.574;"25,73"
1 de julio de 2014;01. Centro;013. Cortes;10.591;2.162;"20,41"
1 de julio de 2014;01. Centro;014. Justicia;16.388;3.057;"18,65"
1 de julio de 2014;01. Centro;015. Universidad;30.883;6.345;"20,55"
1 de julio de 2014;01. Centro;016. Sol;7.367;1.838;"24,95"
1 de julio de 2014;02. Arganzuela;02. Arganzuela;151.146;15.331;"10,14"
1 de julio de 2014;02. Arganzuela;021. Imperial;22.712;1.528;"6,73"
1 de julio de 2014;02. Arganzuela;022. Acacias;36.864;2.530;"6,86"
1 de julio de 2014;02. Arganzuela;023. Chopera;20.030;2.956;"14,76"
1 de julio de 2014;02. Arganzuela;024. Legazpi;17.752;1.387;"7,81"
1 de julio de 2014;02. Arganzuela;025. Delicias;26.834;3.134;"11,68"
1 de julio de 2014;02. Arganzuela;026. Palos de la Frontera;25.850;3.748;"14,5"
1 de julio de 2014;02. Arganzuela;027. Atocha;1.097;46;"4,19"
1 de julio de 2014;03. Retiro;03. Retiro;118.685;8.104;"6,83"
1 de julio de 2014;03. Retiro;031. Pacífico;33.999;2.665;"7,84"
1 de julio de 2014;03. Retiro;032. Adelfas;17.348;1.110;"6,4"
1 de julio de 2014;03. Retiro;033. Estrella;23.442;865;"3,69"
1 de julio de 2014;03. Retiro;034. Ibiza;21.566;2.067;"9,58"
1 de julio de 2014;03. Retiro;035. Los Jerónimos;7.091;654;"9,22"
1 de julio de 2014;03. Retiro;036. Niño Jesús;15.191;729;"4,8"
1 de julio de 2014;04. Salamanca;04. Salamanca;143.093;16.067;"11,23"
1 de julio de 2014;04. Salamanca;041. Recoletos;15.269;1.990;"13,03"
1 de julio de 2014;04. Salamanca;042. Goya;29.024;3.274;"11,28"
1 de julio de 2014;04. Salamanca;043. Fuente del Berro;20.965;2.354;"11,23"
1 de julio de 2014;04. Salamanca;044. Guindalera;40.607;3.776;"9,3"
1 de julio de 2014;04. Salamanca;045. Lista;20.454;2.416;"11,81"
1 de julio de 2014;04. Salamanca;046. Castellana;16.771;2.257;"13,46"
1 de julio de 2014;05. Chamartín;05. Chamartín;142.290;12.784;"8,98"
1 de julio de 2014;05. Chamartín;051. El Viso;16.739;1.867;"11,15"
1 de julio de 2014;05. Chamartín;052. Prosperidad;36.233;3.292;"9,09"
1 de julio de 2014;05. Chamartín;053. Ciudad Jardín;18.199;1.983;"10,9"
1 de julio de 2014;05. Chamartín;054. Hispanoamérica;31.117;2.173;"6,98"
1 de julio de 2014;05. Chamartín;055. Nueva España;23.375;2.150;"9,2"
1 de julio de 2014;05. Chamartín;056. Castilla;16.611;1.317;"7,93"
1 de julio de 2014;06. Tetuán;06. Tetuán;151.921;26.497;"17,44"
1 de julio de 2014;06. Tetuán;061. Bellas Vistas;28.190;6.272;"22,25"
1 de julio de 2014;06. Tetuán;062. Cuatro Caminos;33.535;4.672;"13,93"
1 de julio de 2014;06. Tetuán;063. Castillejos;19.868;2.919;"14,69"
1 de julio de 2014;06. Tetuán;064. Almenara;21.740;2.742;"12,61"
1 de julio de 2014;06. Tetuán;065. Valdeacederas;24.833;4.849;"19,53"
1 de julio de 2014;06. Tetuán;066. Berruguete;23.740;5.036;"21,21"
1 de julio de 2014;07. Chamberí;07. Chamberí;138.147;14.884;"10,77"
1 de julio de 2014;07. Chamberí;071. Gaztambide;22.803;2.466;"10,81"
1 de julio de 2014;07. Chamberí;072. Arapiles;24.494;2.727;"11,13"
1 de julio de 2014;07. Chamberí;073. Trafalgar;24.444;3.052;"12,49"
1 de julio de 2014;07. Chamberí;074. Almagro;19.607;2.445;"12,47"
1 de julio de 2014;07. Chamberí;075. Ríos Rosas;26.891;2.905;"10,8"
1 de julio de 2014;07. Chamberí;076. Vallehermoso;19.893;1.283;"6,45"
1 de julio de 2014;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;233.744;17.682;"7,56"
1 de julio de 2014;08. Fuencarral-El Pardo;081. El Pardo;3.488;118;"3,38"
1 de julio de 2014;08. Fuencarral-El Pardo;082. Fuentelarreina;3.198;248;"7,75"
1 de julio de 2014;08. Fuencarral-El Pardo;083. Peñagrande;44.531;3.127;"7,02"
1 de julio de 2014;08. Fuencarral-El Pardo;084. Pilar;46.117;4.560;"9,89"
1 de julio de 2014;08. Fuencarral-El Pardo;085. La Paz;34.471;1.679;"4,87"
1 de julio de 2014;08. Fuencarral-El Pardo;086. Valverde;56.953;5.592;"9,82"
1 de julio de 2014;08. Fuencarral-El Pardo;087. Mirasierra;28.998;1.522;"5,25"
1 de julio de 2014;08. Fuencarral-El Pardo;088. El Goloso;15.913;823;"5,17"
1 de julio de 2014;09. Moncloa-Aravaca;09. Moncloa-Aravaca;115.719;11.635;"10,05"
1 de julio de 2014;09. Moncloa-Aravaca;091. Casa de Campo;12.161;900;"7,4"
1 de julio de 2014;09. Moncloa-Aravaca;092. Argüelles;24.006;2.904;"12,1"
1 de julio de 2014;09. Moncloa-Aravaca;093. Ciudad Universitaria;15.538;1.446;"9,31"
1 de julio de 2014;09. Moncloa-Aravaca;094. Valdezarza;29.699;3.011;"10,14"
1 de julio de 2014;09. Moncloa-Aravaca;095. Valdemarín;6.190;630;"10,18"
1 de julio de 2014;09. Moncloa-Aravaca;096. El Plantío;2.480;226;"9,11"
1 de julio de 2014;09. Moncloa-Aravaca;097. Aravaca;25.549;2.502;"9,79"
1 de julio de 2014;10. Latina;10. Latina;236.798;32.692;"13,81"
1 de julio de 2014;10. Latina;101. Los Cármenes;17.074;2.149;"12,59"
1 de julio de 2014;10. Latina;102. Puerta del Ángel;41.468;7.238;"17,45"
1 de julio de 2014;10. Latina;103. Lucero;35.619;4.995;"14,02"
1 de julio de 2014;10. Latina;104. Aluche;66.965;9.734;"14,54"
1 de julio de 2014;10. Latina;105. Campamento;19.092;3.034;"15,89"
1 de julio de 2014;10. Latina;106. Cuatro Vientos;4.689;249;"5,31"
1 de julio de 2014;10. Latina;107. Águilas;51.883;5.289;"10,19"
1 de julio de 2014;11. Carabanchel;11. Carabanchel;242.366;39.666;"16,37"
1 de julio de 2014;11. Carabanchel;111. Comillas;22.433;3.666;"16,34"
1 de julio de 2014;11. Carabanchel;112. Opañel;31.646;5.751;"18,17"
1 de julio de 2014;11. Carabanchel;113. San Isidro;38.009;6.571;"17,29"
1 de julio de 2014;11. Carabanchel;114. Vista Alegre;44.110;8.175;"18,53"
1 de julio de 2014;11. Carabanchel;115. Puerta Bonita;32.887;5.814;"17,68"
1 de julio de 2014;11. Carabanchel;116. Buenavista;44.015;4.939;"11,22"
1 de julio de 2014;11. Carabanchel;117. Abrantes;29.255;4.740;"16,2"
1 de julio de 2014;12. Usera;12. Usera;133.367;24.371;"18,27"
1 de julio de 2014;12. Usera;121. Orcasitas;22.304;1.393;"6,25"
1 de julio de 2014;12. Usera;122. Orcasur;13.239;1.400;"10,57"
1 de julio de 2014;12. Usera;123. San Fermín;22.349;3.375;"15,1"
1 de julio de 2014;12. Usera;124. Almendrales;20.483;5.128;"25,04"
1 de julio de 2014;12. Usera;125. Moscardó;25.123;5.928;"23,6"
1 de julio de 2014;12. Usera;126. Zofío;13.349;2.614;"19,58"
1 de julio de 2014;12. Usera;127. Pradolongo;16.515;4.530;"27,43"
1 de julio de 2014;13. Puente de Vallecas;13. Puente de Vallecas;227.939;33.576;"14,73"
1 de julio de 2014;13. Puente de Vallecas;131. Entrevías;33.764;3.810;"11,28"
1 de julio de 2014;13. Puente de Vallecas;132. San Diego;38.622;9.582;"24,81"
1 de julio de 2014;13. Puente de Vallecas;133. Palomeras Bajas;39.582;4.503;"11,38"
1 de julio de 2014;13. Puente de Vallecas;134. Palomeras Sureste;42.122;4.134;"9,81"
1 de julio de 2014;13. Puente de Vallecas;135. Portazgo;27.708;3.167;"11,43"
1 de julio de 2014;13. Puente de Vallecas;136. Numancia;46.122;8.375;"18,16"
1 de julio de 2014;14. Moratalaz;14. Moratalaz;95.728;7.622;"7,96"
1 de julio de 2014;14. Moratalaz;141. Pavones;9.075;624;"6,88"
1 de julio de 2014;14. Moratalaz;142. Horcajo;6.497;259;"3,99"
1 de julio de 2014;14. Moratalaz;143. Marroquina;27.959;1.594;"5,7"
1 de julio de 2014;14. Moratalaz;144. Media Legua;18.196;1.390;"7,64"
1 de julio de 2014;14. Moratalaz;145. Fontarrón;16.844;1.963;"11,65"
1 de julio de 2014;14. Moratalaz;146. Vinateros;17.153;1.792;"10,45"
1 de julio de 2014;15. Ciudad Lineal;15. Ciudad Lineal;213.842;26.706;"12,49"
1 de julio de 2014;15. Ciudad Lineal;151. Ventas;47.827;7.046;"14,73"
1 de julio de 2014;15. Ciudad Lineal;152. Pueblo Nuevo;60.856;9.203;"15,12"
1 de julio de 2014;15. Ciudad Lineal;153. Quintana;24.101;3.792;"15,73"
1 de julio de 2014;15. Ciudad Lineal;154. Concepción;20.503;2.579;"12,58"
1 de julio de 2014;15. Ciudad Lineal;155. San Pascual;18.250;1.347;"7,38"
1 de julio de 2014;15. Ciudad Lineal;156. San Juan Bautista;12.373;984;"7,95"
1 de julio de 2014;15. Ciudad Lineal;157. Colina;6.043;535;"8,85"
1 de julio de 2014;15. Ciudad Lineal;158. Atalaya;1.574;168;"10,67"
1 de julio de 2014;15. Ciudad Lineal;159. Costillares;22.309;1.051;"4,71"
1 de julio de 2014;16. Hortaleza;16. Hortaleza;173.866;15.612;"8,98"
1 de julio de 2014;16. Hortaleza;161. Palomas;6.658;585;"8,79"
1 de julio de 2014;16. Hortaleza;162. Piovera;14.222;2.075;"14,59"
1 de julio de 2014;16. Hortaleza;163. Canillas;41.008;3.271;"7,98"
1 de julio de 2014;16. Hortaleza;164. Pinar del Rey;52.959;4.960;"9,37"
1 de julio de 2014;16. Hortaleza;165. Apóstol Santiago;15.355;1.077;"7,01"
1 de julio de 2014;16. Hortaleza;166. Valdefuentes;43.640;3.642;"8,35"
1 de julio de 2014;17. Villaverde;17. Villaverde;142.052;23.960;"16,87"
1 de julio de 2014;17. Villaverde;171. San Andrés;43.074;7.176;"16,66"
1 de julio de 2014;17. Villaverde;172. San Cristóbal;15.251;4.377;"28,7"
1 de julio de 2014;17. Villaverde;173. Butarque;16.336;2.035;"12,46"
1 de julio de 2014;17. Villaverde;174. Los Rosales;36.565;6.088;"16,65"
1 de julio de 2014;17. Villaverde;175. Ángeles;30.809;4.274;"13,87"
1 de julio de 2014;18. Villa de Vallecas;18. Villa de Vallecas;99.346;11.260;"11,33"
1 de julio de 2014;18. Villa de Vallecas;181. Casco Histórico de Vallecas;74.123;8.504;"11,47"
1 de julio de 2014;18. Villa de Vallecas;182. Santa Eugenia;24.625;2.486;"10,1"
