P. Turismo y eventos
Turismo
Infraestructura hotelera
1.2.2.B. Oferta hotelera en la ciudad de Madrid por Categoría del establecimiento según Tipo de establecimiento y Distrito (desde 2016)
;;Establecimientos;Habitaciones;Plazas
;;Total;Total;Total
;;Total;Total;Total
2018;Ciudad de Madrid;1.042;47.806;86.107
2018;01. Centro;703;22.881;27.865
2018;02. Arganzuela;26;1.722;2.458
2018;03. Retiro;14;1.468;2.750
2018;04. Salamanca;50;5.117;8.965
2018;05. Chamartín;16;2.582;4.481
2018;06. Tetuán;31;3.081;5.030
2018;07. Chamberí;55;3.043;5.023
2018;08. Fuencarral-El Pardo;16;1.505;2.866
2018;09. Moncloa-Aravaca;33;1.998;3.479
2018;10. Latina;4;208;328
2018;11. Carabanchel;7;611;1.027
2018;12. Usera;3;72;94
2018;13. Puente de Vallecas;1;107;214
2018;14. Moratalaz;0;0;0
2018;15. Ciudad Lineal;12;1.383;2.343
2018;16. Hortaleza;10;651;1.232
2018;17. Villaverde;1;48;24
2018;18. Villa de Vallecas;9;609;823
2018;19. Vicálvaro;0;0;0
2018;20. San Blas-Canillejas;21;3.681;6.911
2018;21. Barajas;30;2.575;4.658
2019;Ciudad de Madrid;1.054;48.919;88.359
2019;01. Centro;713;19.962;34.388
2019;02. Arganzuela;27;1.576;2.617
2019;03. Retiro;14;1.450;2.768
2019;04. Salamanca;50;4.709;8.869
2019;05. Chamartín;16;2.664;4.833
2019;06. Tetuán;28;2.328;4.134
2019;07. Chamberí;58;3.091;5.732
2019;08. Fuencarral-El Pardo;16;1.482;2.889
2019;09. Moncloa-Aravaca;32;1.904;3.560
2019;10. Latina;3;38;54
2019;11. Carabanchel;7;569;1.069
2019;12. Usera;3;62;104
2019;13. Puente de Vallecas;2;108;215
2019;14. Moratalaz;0;0;0
2019;15. Ciudad Lineal;12;1.359;2.366
2019;16. Hortaleza;11;821;1.555
2019;17. Villaverde;1;250;476
2019;18. Villa de Vallecas;9;512;940
2019;19. Vicálvaro;0;0;0
2019;20. San Blas-Canillejas;22;3.568;7.023
2019;21. Barajas;30;2.466;4.767
;
;
Fuente: Registro de Establecimientos Turísticos Comunidad de Madrid
Observaciones: 
