Código barrio;Nombre barrio;Codigo distrito;Nombre distrito;Fecha datos;Valor catastral medio (vivienda residencial);Renta neta media por hogar;Tasa de población extranjera;Tasa de abstención electoral;Porcentaje de mujeres;Porcentaje de población menos de 14 años y mayor de 65 años
11;Palacio;1;Centro;2020;119419,6;41868,06;20,22;26,12;50,42;25,85
12;Embajadores;1;Centro;2020;87648,9;31538,16;29,52;29,85;47,41;21,05
13;Cortes;1;Centro;2020;143692,86;42653,68;27,01;27,23;49,98;22,91
14;Justicia;1;Centro;2020;166335,52;49811,69;24,19;28,14;48,71;22,34
15;Universidad;1;Centro;2020;110446,93;37913,32;24,51;27,83;50,05;22,49
16;Sol;1;Centro;2020;132303,88;36689,59;32,99;31,55;48,1;21,79
21;Imperial;2;Arganzuela;2020;116825,91;47470,88;7,98;20,16;53,55;33,18
22;Acacias;2;Arganzuela;2020;117934,23;49814,9;7,66;19,36;53,88;34,08
23;Chopera;2;Arganzuela;2020;91101,19;36490,71;13,67;25,77;54,45;32,82
24;Legazpi;2;Arganzuela;2020;149700,29;55603,88;7,82;18,15;50,9;26,78
25;Delicias;2;Arganzuela;2020;112753,37;45953,62;12,18;21,6;52,84;30,07
26;Palos de la Frontera;2;Arganzuela;2020;96211,27;39077,79;15,36;24,37;53,04;30,06
27;Atocha;2;Arganzuela;2020;173024,69;44319;7,01;19,46;50,76;27,32
31;Pacífico;3;Retiro;2020;119891,95;46725,81;9,86;20,49;55,34;35,33
32;Adelfas;3;Retiro;2020;135552,06;51892,98;7,78;19,51;53,73;34,6
33;Estrella;3;Retiro;2020;180460,1;64443,55;4,64;16,99;53,81;43,49
34;Ibiza;3;Retiro;2020;177641,78;53594,67;12,7;22,47;55,45;36,35
35;Jerónimos;3;Retiro;2020;350603,82;73968,14;12,14;22,91;53,04;36,91
36;Niño Jesús;3;Retiro;2020;248245,98;74745,45;6,04;17,29;54,52;40,75
41;Recoletos;4;Salamanca;2020;314793,4;77007,13;19,18;21,87;54,77;34,07
42;Goya;4;Salamanca;2020;180740,87;57212,09;16,12;23,29;56,47;33,77
43;Fuente del Berro;4;Salamanca;2020;128503,93;46674,05;13,05;21,96;56,26;34,71
44;Guindalera;4;Salamanca;2020;143383,09;52217,87;11,79;20,93;54,61;34,85
45;Lista;4;Salamanca;2020;173096,3;57017,62;15,92;21,67;56,73;34,33
46;Castellana;4;Salamanca;2020;304335,57;80280,6;18,54;20,61;56,06;34,07
51;El Viso;5;Chamartín;2020;352098,69;85309,06;11,37;18,84;54,73;34,76
52;Prosperidad;5;Chamartín;2020;127695,67;48977,68;10,71;20,35;55,19;36,22
53;Ciudad Jardín;5;Chamartín;2020;136064,28;50733,56;12,51;22,26;55,51;34,96
54;Hispanoamérica;5;Chamartín;2020;204530,05;73308,48;7,94;19,41;54,94;38,21
