C. Demografía y Población
Migraciones
Cambios de domicilio
5.2.1. Cambios de domicilio entre Distritos
;;2018;2019
Ciudad de Madrid;Ciudad de Madrid;190.910;211.960
Ciudad de Madrid;01. Centro;9.307;11.136
Ciudad de Madrid;02. Arganzuela;7.515;8.503
Ciudad de Madrid;03. Retiro;5.195;6.014
Ciudad de Madrid;04. Salamanca;7.484;8.039
Ciudad de Madrid;05. Chamartín;8.318;9.021
Ciudad de Madrid;06. Tetuán;10.979;12.318
Ciudad de Madrid;07. Chamberí;7.213;7.642
Ciudad de Madrid;08. Fuencarral-El Pardo;13.043;14.420
Ciudad de Madrid;09. Moncloa-Aravaca;6.231;6.871
Ciudad de Madrid;10. Latina;12.333;13.603
Ciudad de Madrid;11. Carabanchel;16.419;18.260
Ciudad de Madrid;12. Usera;9.649;10.563
Ciudad de Madrid;13. Puente de Vallecas;16.392;17.791
Ciudad de Madrid;14. Moratalaz;4.152;4.758
Ciudad de Madrid;15. Ciudad Lineal;12.251;13.718
Ciudad de Madrid;16. Hortaleza;11.239;12.132
Ciudad de Madrid;17. Villaverde;9.910;11.768
Ciudad de Madrid;18. Villa de Vallecas;7.187;8.626
Ciudad de Madrid;19. Vicálvaro;3.895;4.112
Ciudad de Madrid;20. San Blas-Canillejas;8.986;9.739
Ciudad de Madrid;21. Barajas;3.212;2.926
01. Centro;Ciudad de Madrid;11.340;12.476
01. Centro;01. Centro;4.141;4.831
01. Centro;02. Arganzuela;1.044;1.149
01. Centro;03. Retiro;332;418
01. Centro;04. Salamanca;392;391
01. Centro;05. Chamartín;267;288
01. Centro;06. Tetuán;448;470
01. Centro;07. Chamberí;665;713
01. Centro;08. Fuencarral-El Pardo;234;294
01. Centro;09. Moncloa-Aravaca;402;381
01. Centro;10. Latina;463;462
01. Centro;11. Carabanchel;731;720
01. Centro;12. Usera;333;380
01. Centro;13. Puente de Vallecas;593;556
01. Centro;14. Moratalaz;84;116
01. Centro;15. Ciudad Lineal;325;365
01. Centro;16. Hortaleza;161;161
01. Centro;17. Villaverde;298;372
01. Centro;18. Villa de Vallecas;178;162
01. Centro;19. Vicálvaro;41;67
01. Centro;20. San Blas-Canillejas;163;128
01. Centro;21. Barajas;45;52
02. Arganzuela;Ciudad de Madrid;8.348;9.167
02. Arganzuela;01. Centro;591;732
02. Arganzuela;02. Arganzuela;3.039;3.414
02. Arganzuela;03. Retiro;293;293
02. Arganzuela;04. Salamanca;165;142
02. Arganzuela;05. Chamartín;141;107
02. Arganzuela;06. Tetuán;216;274
02. Arganzuela;07. Chamberí;180;214
02. Arganzuela;08. Fuencarral-El Pardo;166;193
02. Arganzuela;09. Moncloa-Aravaca;182;188
02. Arganzuela;10. Latina;370;431
02. Arganzuela;11. Carabanchel;687;747
02. Arganzuela;12. Usera;661;677
02. Arganzuela;13. Puente de Vallecas;399;403
02. Arganzuela;14. Moratalaz;84;107
02. Arganzuela;15. Ciudad Lineal;253;239
02. Arganzuela;16. Hortaleza;149;180
02. Arganzuela;17. Villaverde;364;417
02. Arganzuela;18. Villa de Vallecas;156;180
02. Arganzuela;19. Vicálvaro;51;46
02. Arganzuela;20. San Blas-Canillejas;158;134
02. Arganzuela;21. Barajas;43;49
03. Retiro;Ciudad de Madrid;5.890;6.630
03. Retiro;01. Centro;272;313
03. Retiro;02. Arganzuela;308;355
03. Retiro;03. Retiro;2.172;2.560
03. Retiro;04. Salamanca;415;447
03. Retiro;05. Chamartín;217;199
03. Retiro;06. Tetuán;146;156
03. Retiro;07. Chamberí;163;162
03. Retiro;08. Fuencarral-El Pardo;150;198
03. Retiro;09. Moncloa-Aravaca;120;117
03. Retiro;10. Latina;104;138
03. Retiro;11. Carabanchel;172;156
03. Retiro;12. Usera;116;111
03. Retiro;13. Puente de Vallecas;425;409
03. Retiro;14. Moratalaz;261;265
03. Retiro;15. Ciudad Lineal;211;282
03. Retiro;16. Hortaleza;172;210
03. Retiro;17. Villaverde;78;86
03. Retiro;18. Villa de Vallecas;182;242
03. Retiro;19. Vicálvaro;73;69
03. Retiro;20. San Blas-Canillejas;101;128
03. Retiro;21. Barajas;32;27
04. Salamanca;Ciudad de Madrid;9.266;10.113
04. Salamanca;01. Centro;400;540
04. Salamanca;02. Arganzuela;225;233
04. Salamanca;03. Retiro;460;621
04. Salamanca;04. Salamanca;3.495;3.690
04. Salamanca;05. Chamartín;773;906
04. Salamanca;06. Tetuán;306;320
04. Salamanca;07. Chamberí;494;563
04. Salamanca;08. Fuencarral-El Pardo;344;382
04. Salamanca;09. Moncloa-Aravaca;277;280
04. Salamanca;10. Latina;152;133
04. Salamanca;11. Carabanchel;138;189
04. Salamanca;12. Usera;90;107
04. Salamanca;13. Puente de Vallecas;202;230
04. Salamanca;14. Moratalaz;157;141
04. Salamanca;15. Ciudad Lineal;821;851
04. Salamanca;16. Hortaleza;356;326
04. Salamanca;17. Villaverde;80;109
04. Salamanca;18. Villa de Vallecas;116;117
04. Salamanca;19. Vicálvaro;79;78
04. Salamanca;20. San Blas-Canillejas;235;241
04. Salamanca;21. Barajas;66;56
05. Chamartín;Ciudad de Madrid;8.924;9.958
05. Chamartín;01. Centro;236;302
05. Chamartín;02. Arganzuela;115;182
05. Chamartín;03. Retiro;164;163
05. Chamartín;04. Salamanca;547;561
05. Chamartín;05. Chamartín;3.767;4.127
05. Chamartín;06. Tetuán;522;608
05. Chamartín;07. Chamberí;343;374
05. Chamartín;08. Fuencarral-El Pardo;647;718
05. Chamartín;09. Moncloa-Aravaca;237;278
05. Chamartín;10. Latina;125;141
05. Chamartín;11. Carabanchel;140;158
05. Chamartín;12. Usera;79;101
05. Chamartín;13. Puente de Vallecas;144;130
05. Chamartín;14. Moratalaz;64;74
05. Chamartín;15. Ciudad Lineal;664;709
05. Chamartín;16. Hortaleza;722;793
05. Chamartín;17. Villaverde;46;79
05. Chamartín;18. Villa de Vallecas;59;106
05. Chamartín;19. Vicálvaro;45;59
05. Chamartín;20. San Blas-Canillejas;185;207
05. Chamartín;21. Barajas;73;88
06. Tetuán;Ciudad de Madrid;12.031;13.499
06. Tetuán;01. Centro;310;385
06. Tetuán;02. Arganzuela;229;233
06. Tetuán;03. Retiro;138;153
06. Tetuán;04. Salamanca;228;270
