Codigo distrito;Nombre distrito;Fecha datos;Valor catastral medio (vivienda residencial);Valor catastral medio (vivienda residencial) - media ciudad;Renta neta media por hogar;Renta neta media por hogar - media ciudad;Tasa de población extranjera;Tasa de población extranjera - media ciudad;Tasa de abstención electoral;Tasa de abstención electoral - media ciudad;Porcentaje de mujeres;Porcentaje de mujeres - media ciudad;Porcentaje de población menos de 14 años y mayor de 65 años;Porcentaje de población menos de 14 años y mayor de 65 años - media ciudad
1;Centro;2020;116035,12;109659,45;38171;43146,43;26,1;15,54;28,35;26,2;48,94;53,27;22,54;32,93
2;Arganzuela;2020;113616,23;109659,45;45262;43146,43;10,61;15,54;21,38;26,2;53,16;53,27;31,38;32,93
3;Retiro;2020;171607,82;109659,45;57027;43146,43;8,68;15,54;19,72;26,2;54,57;53,27;37,77;32,93
4;Salamanca;2020;191335,86;109659,45;60435;43146,43;15,02;15,54;21,73;26,2;55,71;53,27;34,36;32,93
5;Chamartín;2020;191483,01;109659,45;69558;43146,43;10,11;15,54;19,82;26,2;54,9;53,27;36,37;32,93
6;Tetuán;2020;108903,04;109659,45;39332;43146,43;20,05;15,54;29,02;26,2;54,45;53,27;29,93;32,93
7;Chamberí;2020;158813,85;109659,45;56073;43146,43;12,37;15,54;21,13;26,2;55,6;53,27;34,35;32,93
8;Fuencarral - El Pardo;2020;133759,47;109659,45;54493;43146,43;8,86;15,54;21,23;26,2;52,91;53,27;37,88;32,93
9;Moncloa - Aravaca;2020;168898,49;109659,45;62482;43146,43;11,22;15,54;20,85;26,2;53,92;53,27;35,19;32,93
10;Latina;2020;72689,15;109659,45;33237;43146,43;17,33;15,54;27,16;26,2;53,63;53,27;35,43;32,93
11;Carabanchel;2020;63049,8;109659,45;31190;43146,43;21,28;15,54;31,56;26,2;53,27;53,27;31,71;32,93
12;Usera;2020;57665,21;109659,45;29061;43146,43;23,96;15,54;34,88;26,2;52,76;53,27;30,19;32,93
13;Puente de Vallecas;2020;50694,81;109659,45;27975;43146,43;20,04;15,54;33,87;26,2;52,52;53,27;30,2;32,93
14;Moratalaz;2020;93439,75;109659,45;37951;43146,43;10,49;15,54;25,23;26,2;54,43;53,27;36,68;32,93
15;Ciudad Lineal;2020;104976,53;109659,45;40948;43146,43;15,39;15,54;26,81;26,2;54,46;53,27;34,2;32,93
16;Hortaleza;2020;148131,38;109659,45;53836;43146,43;11,12;15,54;22,07;26,2;52,56;53,27;35,12;32,93
17;Villaverde;2020;62170,83;109659,45;29873;43146,43;21,4;15,54;32,02;26,2;52,12;53,27;31,37;32,93
18;Villa de Vallecas;2020;81203,44;109659,45;34168;43146,43;13,97;15,54;27,69;26,2;51,5;53,27;30,65;32,93
19;Vicálvaro;2020;80061,73;109659,45;35510;43146,43;13,15;15,54;25,35;26,2;51,54;53,27;29,61;32,93
20;San Blas - Canillejas;2020;88907,77;109659,45;38560;43146,43;14,09;15,54;27,87;26,2;52,67;53,27;30,52;32,93
21;Barajas;2020;131119,27;109659,45;51108;43146,43;9,93;15,54;20,94;26,2;51,81;53,27;34,19;32,93
1;Centro;2021;116277,68;109872,05;38171;43097,47;27,16;16,54;28,35;26,22;49,17;53,28;22,47;32,7
2;Arganzuela;2021;113951,09;109872,05;45262;43097,47;11;16,54;21,38;26,22;53,13;53,28;31,47;32,7
3;Retiro;2021;171832,65;109872,05;57027;43097,47;9,18;16,54;19,72;26,22;54,54;53,28;37,76;32,7
4;Salamanca;2021;191896,69;109872,05;60435;43097,47;16;16,54;21,73;26,22;55,77;53,28;34,14;32,7
5;Chamartín;2021;191514,78;109872,05;69558;43097,47;10,62;16,54;19,82;26,22;54,92;53,28;36,29;32,7
6;Tetuán;2021;108739,37;109872,05;39332;43097,47;20,98;16,54;29,02;26,22;54,51;53,28;29,79;32,7
7;Chamberí;2021;159501,87;109872,05;56073;43097,47;13,17;16,54;21,13;26,22;55,62;53,28;34,18;32,7
8;Fuencarral - El Pardo;2021;134299,72;109872,05;54493;43097,47;9,47;16,54;21,23;26,22;52,9;53,28;37,76;32,7
9;Moncloa - Aravaca;2021;169383,15;109872,05;62482;43097,47;11,59;16,54;20,85;26,22;53,78;53,28;35,01;32,7
10;Latina;2021;72696,93;109872,05;33237;43097,47;18,51;16,54;27,16;26,22;53,63;53,28;35,03;32,7
11;Carabanchel;2021;63107,46;109872,05;31190;43097,47;22,8;16,54;31,56;26,22;53,22;53,28;31,22;32,7
12;Usera;2021;57814,49;109872,05;29061;43097,47;24,96;16,54;34,88;26,22;52,67;53,28;29,92;32,7
13;Puente de Vallecas;2021;50763,54;109872,05;27975;43097,47;21,46;16,54;33,87;26,22;52,54;53,28;30,11;32,7
14;Moratalaz;2021;93499,88;109872,05;37951;43097,47;11,47;16,54;25,23;26,22;54,48;53,28;36,49;32,7
15;Ciudad Lineal;2021;105044,72;109872,05;40948;43097,47;16,55;16,54;26,81;26,22;54,47;53,28;33,85;32,7
16;Hortaleza;2021;149941,11;109872,05;53836;43097,47;11,89;16,54;22,07;26,22;52,52;53,28;34,98;32,7
17;Villaverde;2021;62582,91;109872,05;29873;43097,47;22,93;16,54;32,02;26,22;52,12;53,28;30,85;32,7
18;Villa de Vallecas;2021;81860,74;109872,05;34168;43097,47;15,11;16,54;27,69;26,22;51,65;53,28;30,49;32,7
19;Vicálvaro;2021;83707,75;109872,05;35510;43097,47;14,35;16,54;25,35;26,22;51,54;53,28;28,9;32,7
20;San Blas - Canillejas;2021;89319,98;109872,05;38560;43097,47;15,45;16,54;27,87;26,22;52,73;53,28;30,23;32,7
21;Barajas;2021;129845,46;109872,05;51108;43097,47;10,51;16,54;20,94;26,22;52,02;53,28;34,05;32,7
