PERSONAS DETENIDAS E INVESTIGADAS;;;;;;;;;;;
(POR DISTRITOS);;;;;;;;;;;
DISTRITOS;PERSONAS DETENIDAS E INVESTIGADAS;;;;;;;;;;
CENTRO;106;;;;;;;;;;
ARGANZUELA;23;;;;;;;;;;
RETIRO;19;;;;;;;;;;
SALAMANCA;46;;;;;;;;;;
CHAMARTÍN;36;;;;;;;;;;
TETUÁN;41;;;;;;;;;;
CHAMBERÍ;31;;;;;;;;;;
FUENCARRAL - EL PARDO;21;;;;;;;;;;
MONCLOA - ARAVACA;32;;;;;;;;;;
LATINA;40;;;;;;;;;;
CARABANCHEL;58;;;;;;;;;;
USERA;26;;;;;;;;;;
PUENTE DE VALLECAS;88;;;;;;;;;;
MORATALAZ;14;;;;;;;;;;
CIUDAD LINEAL;40;;;;;;;;;;
HORTALEZA;37;;;;;;;;;;
VILLAVERDE;25;;;;;;;;;;
VILLA DE VALLECAS;29;;;;;;;;;;
VICÁLVARO;14;;;;;;;;;;
SAN BLAS - CANILLEJAS;25;;;;;;;;;;
BARAJAS;13;;;;;;;;;;
